Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,62.849998,63.490002,62.849998,63.490002,63.122215,6511000
2018-01-03,63.480000,63.660000,62.759998,63.480000,63.112270,6091100
2018-01-04,63.400002,63.549999,62.549999,63.439999,63.072506,5780500
2018-01-05,63.700001,64.300003,63.470001,63.980000,63.609375,11632300
2018-01-08,64.150002,64.709999,63.980000,64.550003,64.176079,11905700
2018-01-09,64.230003,64.720001,63.470001,64.089996,63.718735,8771300
2018-01-10,63.880001,64.230003,63.439999,64.220001,63.847992,5010600
2018-01-11,64.029999,64.309998,63.779999,64.290001,63.917583,5103500
2018-01-12,64.500000,64.720001,64.320000,64.669998,64.295380,5135700
2018-01-16,64.779999,65.360001,63.369999,63.419998,63.052620,9117000
2018-01-17,63.669998,64.010002,63.080002,63.810001,63.440361,7335900
2018-01-18,64.000000,64.209999,63.540001,64.110001,63.738625,5656900
2018-01-19,65.309998,67.239998,65.120003,67.209999,66.820671,12896100
2018-01-22,66.550003,66.830002,65.760002,66.389999,66.005417,8491800
2018-01-23,66.529999,67.330002,66.440002,67.139999,66.751068,6412000
2018-01-24,67.339996,68.180000,67.070000,68.000000,67.606087,7421800
2018-01-25,68.129997,68.639999,67.449997,67.709999,67.317772,5707600
2018-01-26,68.199997,68.639999,67.919998,68.040001,67.645859,6290500
2018-01-29,67.820000,68.139999,67.419998,67.580002,67.188522,5067300
2018-01-30,67.500000,68.309998,67.160004,67.330002,66.939972,6350500
2018-01-31,67.500000,68.830002,67.470001,68.220001,67.824814,11036400
2018-02-01,67.669998,67.970001,66.699997,67.650002,67.258118,5790500
2018-02-02,67.220001,67.790001,67.000000,67.220001,66.830612,9348300
2018-02-05,66.629997,67.209999,64.389999,64.389999,64.016998,12549500
2018-02-06,62.480000,65.419998,62.090000,65.220001,64.842194,13356700
2018-02-07,65.150002,66.839996,65.099998,65.629997,65.249817,8845700
2018-02-08,65.529999,65.709999,62.459999,62.490002,62.128010,14121800
2018-02-09,63.759998,66.050003,62.840000,65.489998,65.110634,13733300
2018-02-12,65.940002,66.820000,65.680000,65.980003,65.597794,9792200
2018-02-13,65.849998,66.230003,65.430000,65.870003,65.488426,9538400
2018-02-14,65.720001,68.029999,65.550003,67.959999,67.566322,8662600
2018-02-15,68.389999,68.760002,67.250000,68.290001,67.894409,7390200
2018-02-16,67.900002,69.000000,67.739998,68.300003,67.904358,6842100
2018-02-20,67.639999,67.970001,67.050003,67.489998,67.099045,4859100
2018-02-21,67.660004,68.019997,67.029999,67.050003,66.661598,5107900
2018-02-22,67.250000,67.480003,66.739998,67.129997,66.741127,6515800
2018-02-23,67.389999,68.160004,66.849998,68.160004,67.765167,4428500
2018-02-26,68.389999,69.809998,68.339996,69.650002,69.246529,6499500
2018-02-27,70.000000,70.250000,68.029999,68.029999,67.635918,6843100
2018-02-28,68.099998,68.300003,67.010002,67.029999,66.641708,6091800
2018-03-01,67.239998,67.669998,65.669998,66.320000,65.935814,7323900
2018-03-02,64.910004,66.089996,64.209999,65.889999,65.706459,8380500
2018-03-05,65.480003,65.489998,64.339996,65.050003,64.868805,8838400
2018-03-06,65.209999,65.360001,64.629997,65.239998,65.058273,6550100
2018-03-07,64.510002,64.790001,63.889999,64.169998,63.991253,6457600
2018-03-08,64.559998,65.250000,64.480003,65.110001,64.928635,5573000
2018-03-09,65.510002,66.510002,65.360001,66.300003,66.115326,5838400
2018-03-12,66.650002,67.610001,66.320000,66.820000,66.633873,7522700
2018-03-13,67.300003,67.690002,66.129997,66.169998,65.985680,5167300
2018-03-14,66.650002,66.900002,65.669998,66.199997,66.015594,6463800
2018-03-15,66.489998,66.610001,66.129997,66.389999,66.205070,5260800
