Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,13.450000,14.010000,13.230000,13.970000,13.970000,6264800
2018-01-03,13.970000,14.470000,13.970000,14.400000,14.400000,4839600
2018-01-04,14.440000,14.790000,14.280000,14.750000,14.750000,6026600
2018-01-05,14.750000,15.690000,14.710000,14.730000,14.730000,9431300
2018-01-08,14.690000,15.139000,14.640000,14.780000,14.780000,4838100
2018-01-09,14.160000,14.620000,13.970000,14.100000,14.100000,8791400
2018-01-10,13.850000,14.050000,13.670000,13.940000,13.940000,5960100
2018-01-11,13.950000,14.490000,13.820000,14.130000,14.130000,6438800
2018-01-12,14.210000,14.390000,13.900000,14.140000,14.140000,4573900
2018-01-16,13.740000,13.880000,12.300000,12.480000,12.480000,14256800
2018-01-17,12.570000,12.660000,12.270000,12.390000,12.390000,6998600
2018-01-18,12.330000,12.390000,12.160000,12.370000,12.370000,6691100
2018-01-19,12.400000,12.980000,12.397000,12.850000,12.850000,6101600
2018-01-22,12.850000,13.280000,12.670000,13.280000,13.280000,4735100
2018-01-23,13.360000,13.750000,13.290000,13.590000,13.590000,4143900
2018-01-24,13.610000,13.760000,13.230000,13.610000,13.610000,3964500
2018-01-25,13.730000,13.730000,13.140000,13.310000,13.310000,3314300
2018-01-26,13.300000,13.420000,13.150000,13.270000,13.270000,2584600
2018-01-29,13.150000,13.415000,13.150000,13.180000,13.180000,3546200
2018-01-30,13.080000,13.200000,12.770000,12.990000,12.990000,3014000
2018-01-31,13.020000,13.050000,12.750000,12.850000,12.850000,3172900
2018-02-01,12.670000,12.910000,12.510000,12.700000,12.700000,2923800
2018-02-02,12.640000,12.765000,12.300000,12.410000,12.410000,2607800
2018-02-05,12.250000,12.540000,11.860000,11.870000,11.870000,3088100
2018-02-06,11.650000,12.120000,11.410000,12.050000,12.050000,6084600
2018-02-07,12.080000,12.530000,12.050000,12.150000,12.150000,3775200
2018-02-08,12.140000,12.250000,11.700000,11.950000,11.950000,3267700
2018-02-09,12.080000,12.630000,11.920000,12.460000,12.460000,5646200
2018-02-12,12.610000,13.430000,12.600000,13.180000,13.180000,8042800
2018-02-13,14.550000,15.650000,14.490000,15.290000,15.290000,20751100
2018-02-14,15.130000,16.330000,14.450000,16.139999,16.139999,10617100
2018-02-15,16.160000,16.740000,15.720000,16.540001,16.540001,8754400
2018-02-16,16.440001,16.830000,15.740000,15.780000,15.780000,5414200
2018-02-20,15.700000,16.135000,15.340000,15.410000,15.410000,4584900
2018-02-21,15.490000,15.740000,15.310000,15.320000,15.320000,3005300
2018-02-22,15.370000,15.510000,14.910000,14.970000,14.970000,2887300
2018-02-23,15.050000,15.410000,14.940000,15.300000,15.300000,2210000
2018-02-26,15.320000,15.590000,15.220000,15.420000,15.420000,3373600
2018-02-27,15.510000,15.925000,15.084000,15.090000,15.090000,3282700
2018-02-28,15.220000,15.300000,14.885000,15.050000,15.050000,3608300
2018-03-01,15.060000,15.130000,14.320000,14.390000,14.390000,5492600
2018-03-02,14.200000,15.295000,14.020000,15.230000,15.230000,5519900
2018-03-05,15.130000,15.700000,15.030000,15.560000,15.560000,3610600
2018-03-06,15.550000,15.850000,15.360000,15.730000,15.730000,4001900
2018-03-07,15.530000,15.730000,15.403000,15.500000,15.500000,2661400
2018-03-08,15.570000,15.640000,15.200000,15.290000,15.290000,2181400
2018-03-09,15.410000,15.500000,15.030000,15.180000,15.180000,2703800
2018-03-12,15.200000,15.340000,15.000000,15.240000,15.240000,3179000
2018-03-13,15.220000,15.450000,14.560000,14.580000,14.580000,4462000
2018-03-14,14.590000,14.720000,13.800000,14.020000,14.020000,6167400
2018-03-15,14.060000,14.250000,13.760000,13.830000,13.830000,2784100
2018-03-16,13.870000,14.259000,13.690000,14.080000,14.080000,4076200
2018-03-19,14.020000,14.240000,13.810000,14.070000,14.070000,2932400
2018-03-20,14.120000,14.250000,13.915000,14.010000,14.010000,2990100
2018-03-21,13.930000,14.230000,13.930000,14.070000,14.070000,2244400
2018-03-22,13.940000,14.120000,13.700000,13.710000,13.710000,2056500
2018-03-23,13.800000,14.040000,13.620000,13.720000,13.720000,2514500
2018-03-26,14.000000,14.520000,13.660000,14.460000,14.460000,3817800
2018-03-27,14.460000,14.675000,14.235000,14.320000,14.320000,4122400
2018-03-28,14.370000,14.600000,14.130000,14.190000,14.190000,2413600
2018-03-29,14.310000,14.600000,14.245000,14.350000,14.350000,2458700
2018-04-02,13.990000,14.160000,13.840000,13.990000,13.990000,3548800
2018-04-03,14.080000,14.770000,14.010000,14.730000,14.730000,3206600
2018-04-04,14.590000,15.835000,14.570000,15.640000,15.640000,6667800
2018-04-05,15.550000,15.860000,15.050000,15.190000,15.190000,3424600
2018-04-06,15.100000,15.220000,14.590000,14.750000,14.750000,2217500
2018-04-09,14.830000,14.830000,14.380000,14.400000,14.400000,2432400
2018-04-10,14.600000,14.620000,14.360000,14.580000,14.580000,1772300
2018-04-11,14.360000,14.820000,14.360000,14.710000,14.710000,2044700
2018-04-12,14.730000,15.060000,14.620000,14.990000,14.990000,1639700
2018-04-13,15.090000,15.160000,14.250000,14.340000,14.340000,3017000
2018-04-16,14.410000,14.480000,14.270000,14.350000,14.350000,1528300
2018-04-17,14.440000,14.450000,14.190000,14.200000,14.200000,2680500
2018-04-18,14.230000,14.370000,13.980000,14.020000,14.020000,2469400
2018-04-19,14.020000,14.140000,13.900000,14.010000,14.010000,1567000
2018-04-20,13.990000,14.180000,13.915000,13.990000,13.990000,1612400
2018-04-23,14.180000,14.750000,14.180000,14.610000,14.610000,3520300
2018-04-24,14.680000,15.170000,14.600000,14.810000,14.810000,2998900
2018-04-25,14.850000,14.870000,14.220000,14.320000,14.320000,2245000
2018-04-26,14.340000,14.710000,14.160000,14.690000,14.690000,1861300
2018-04-27,14.860000,15.850000,14.810000,15.370000,15.370000,5480600
2018-04-30,15.370000,15.720000,15.150000,15.350000,15.350000,4767800
2018-05-01,14.770000,16.180000,14.390000,16.150000,16.150000,10260800
2018-05-02,15.920000,16.820000,15.890000,16.370001,16.370001,6222200
2018-05-03,16.290001,16.320000,15.460000,15.570000,15.570000,3518700
2018-05-04,15.550000,15.790000,15.240000,15.730000,15.730000,2261400
2018-05-07,15.860000,16.260000,15.690000,16.250000,16.250000,2981200
